Town,Total,Date,Year,Month,Day,lng,lat,Population
MEROŠINA,0,07-Mar-20,2020,3,7,21.7218,43.2813,13968
MIONICA,0,07-Mar-20,2020,3,7,20.0817,44.2524,14335
NEGOTIN,0,07-Mar-20,2020,3,7,22.5308,44.2264,37056
NIŠ,0,07-Mar-20,2020,3,7,21.9,43.3304,260237
NOVA CRNJA,0,07-Mar-20,2020,3,7,20.6042,45.6685,10272
NOVA VAROŠ,0,07-Mar-20,2020,3,7,19.8117,43.46,16638
NOVI BEČEJ,0,07-Mar-20,2020,3,7,20.1364,45.6015,23925
NOVI KNEŽEVAC,0,07-Mar-20,2020,3,7,20.0958,46.041,11269
NOVI PAZAR,0,07-Mar-20,2020,3,7,20.5149,43.1375,100410
NOVI SAD,0,07-Mar-20,2020,3,7,19.8499,45.2504,341625
NOVO BRDO,0,07-Mar-20,2020,3,7,21.4406,42.6088,
OBILIĆ,0,07-Mar-20,2020,3,7,21.067,42.6869,
ODŽACI,0,07-Mar-20,2020,3,7,19.2606,45.5076,30154
OPOVO,0,07-Mar-20,2020,3,7,20.4313,45.0522,10440
ORAHOVAC,0,07-Mar-20,2020,3,7,20.6528,42.3998,
OSEČINA,0,07-Mar-20,2020,3,7,19.601,44.3728,12536
PANČEVO,0,07-Mar-20,2020,3,7,20.6443,44.8713,123414
PARAĆIN,0,07-Mar-20,2020,3,7,21.4119,43.8592,54242
PEĆ,0,07-Mar-20,2020,3,7,20.2887,42.6593,
PEĆINCI,0,07-Mar-20,2020,3,7,19.9664,44.9089,19720
PETROVAC NA MLAVI,0,07-Mar-20,2020,3,7,21.4198,44.3773,31259
PETROVARADIN,0,07-Mar-20,2020,3,7,19.8862,45.2361,33865
PIROT,0,07-Mar-20,2020,3,7,22.5871,43.1617,57928
PLANDIŠTE,0,07-Mar-20,2020,3,7,21.1238,45.2292,11336
PODUJEVO,0,07-Mar-20,2020,3,7,21.1956,42.9108,
POŽAREVAC,0,07-Mar-20,2020,3,7,21.1826,44.6222,75334
POŽEGA,0,07-Mar-20,2020,3,7,20.0368,43.8459,29638
PREŠEVO,0,07-Mar-20,2020,3,7,21.65,42.3071,3080
PRIBOJ,0,07-Mar-20,2020,3,7,19.5258,43.5836,27133
PRIJEPOLJE,0,07-Mar-20,2020,3,7,19.6506,43.3903,37059
PRIŠTINA,0,07-Mar-20,2020,3,7,21.1655,42.6629,
PRIZREN,0,07-Mar-20,2020,3,7,20.7436,42.2171,
PROKUPLJE,0,07-Mar-20,2020,3,7,21.5932,43.2383,44419
RAČA,0,07-Mar-20,2020,3,7,20.979,44.2268,11503
RAŠKA,0,07-Mar-20,2020,3,7,20.6135,43.2859,24678
RAŽANJ,0,07-Mar-20,2020,3,7,21.5492,43.6744,9150
REKOVAC,0,07-Mar-20,2020,3,7,21.0958,43.8609,11055
RUMA,0,07-Mar-20,2020,3,7,19.8171,45.0079,54339
ŠABAC,0,07-Mar-20,2020,3,7,19.6876,44.7538,115884
SEČANJ,0,07-Mar-20,2020,3,7,20.7732,45.3676,13267
SENTA,0,07-Mar-20,2020,3,7,20.0789,45.9273,23316
SEVOJNO,0,07-Mar-20,2020,3,7,19.8966,43.8473,7101
ŠID,0,07-Mar-20,2020,3,7,19.2267,45.1276,34188
SJENICA,0,07-Mar-20,2020,3,7,20.0004,43.2735,26392
SMEDEREVO,0,07-Mar-20,2020,3,7,20.9258,44.6516,108209
SMEDEREVSKA PALANKA,0,07-Mar-20,2020,3,7,20.9623,44.3654,50284
SOKOBANJA,0,07-Mar-20,2020,3,7,21.8692,43.6453,16021
SOMBOR,0,07-Mar-20,2020,3,7,19.1151,45.7742,85903
SRBICA,0,07-Mar-20,2020,3,7,20.7892,42.7476,
SRBOBRAN,0,07-Mar-20,2020,3,7,19.7954,45.5481,16317
SREMSKA MITROVICA,0,07-Mar-20,2020,3,7,19.6122,44.9764,79940
SREMSKI KARLOVCI,0,07-Mar-20,2020,3,7,19.9325,45.2021,8750
STARA PAZOVA,0,07-Mar-20,2020,3,7,20.1597,44.9861,65792
ŠTIMLJE,0,07-Mar-20,2020,3,7,21.0401,42.4329,
ŠTRPCE,0,07-Mar-20,2020,3,7,21.0259,42.2406,
SUBOTICA,0,07-Mar-20,2020,3,7,19.68,46.07,141554
SURDULICA,0,07-Mar-20,2020,3,7,22.1704,42.6904,20319
SUVA REKA,0,07-Mar-20,2020,3,7,20.8319,42.3625,
SVILAJNAC,0,07-Mar-20,2020,3,7,21.197,44.2383,23551
SVRLJIG,0,07-Mar-20,2020,3,7,22.1252,43.4129,14249
TEMERIN,0,07-Mar-20,2020,3,7,19.8911,45.4095,28287
TITEL,0,07-Mar-20,2020,3,7,20.2949,45.206,15738
TOPOLA,0,07-Mar-20,2020,3,7,20.6824,44.2544,22329
TRGOVIŠTE,0,07-Mar-20,2020,3,7,22.0921,42.3514,5091
TRSTENIK,0,07-Mar-20,2020,3,7,21.0025,43.6169,42966
TUTIN,0,07-Mar-20,2020,3,7,20.3334,42.99,31155
UB,0,07-Mar-20,2020,3,7,20.0762,44.4572,29101
UROŠEVAC,0,07-Mar-20,2020,3,7,21.1483,42.3702,
UŽICE,0,07-Mar-20,2020,3,7,19.8441,43.8582,78040
VALJEVO,0,07-Mar-20,2020,3,7,19.8874,44.272,90312
VARVARIN,0,07-Mar-20,2020,3,7,21.3712,43.7195,17966
VELIKA PLANA,0,07-Mar-20,2020,3,7,21.0751,44.3323,40902
VELIKO GRADIŠTE,0,07-Mar-20,2020,3,7,21.5163,44.7638,17610
VITINA,0,07-Mar-20,2020,3,7,21.359,42.3222,
VLADIČIN HAN,0,07-Mar-20,2020,3,7,22.0664,42.7082,20871
VLADIMIRCI,0,07-Mar-20,2020,3,7,19.7843,44.6158,17462
VLASOTINCE,0,07-Mar-20,2020,3,7,22.1272,42.9659,29893
VRANJE,0,07-Mar-20,2020,3,7,21.9002,42.556,83524
VRANJSKA BANJA,0,07-Mar-20,2020,3,7,21.994,42.553,9580
VRBAS,0,07-Mar-20,2020,3,7,19.6479,45.5704,42092
VRNJAČKA BANJA,0,07-Mar-20,2020,3,7,20.8956,43.6223,27527
VRŠAC,0,07-Mar-20,2020,3,7,21.2983,45.1175,52026
VUČITRN,0,07-Mar-20,2020,3,7,20.9704,42.8267,
ŽABALJ,0,07-Mar-20,2020,3,7,20.0707,45.3741,26134
ŽABARI,0,07-Mar-20,2020,3,7,21.2143,44.3562,11380
ŽAGUBICA,0,07-Mar-20,2020,3,7,21.7902,44.1979,12737
ZAJEČAR,0,07-Mar-20,2020,3,7,22.2755,43.9019,59461
ŽITIŠTE,0,07-Mar-20,2020,3,7,20.5507,45.4854,16841
ŽITORAĐA,0,07-Mar-20,2020,3,7,21.7134,43.1902,16368
ZRENJANIN,0,07-Mar-20,2020,3,7,20.3995,45.3786,123362
ZUBIN POTOK,0,07-Mar-20,2020,3,7,20.6897,42.9148,
ZVEČAN,0,07-Mar-20,2020,3,7,20.8386,42.9108,
ADA,0,08-Mar-20,2020,3,8,20.1285,45.8027,16991
ALEKSANDROVAC,0,08-Mar-20,2020,3,8,21.0539,43.4609,26522
ALEKSINAC,0,08-Mar-20,2020,3,8,21.7078,43.5417,51863
ALIBUNAR,0,08-Mar-20,2020,3,8,20.9682,45.0789,20151
APATIN,0,08-Mar-20,2020,3,8,18.9843,45.6709,28929
ARANĐELOVAC,0,08-Mar-20,2020,3,8,20.5612,44.3077,46225
ARILJE,0,08-Mar-20,2020,3,8,20.097,43.755,18792
BABUŠNICA,0,08-Mar-20,2020,3,8,22.4115,43.068,12307
BAČ,0,08-Mar-20,2020,3,8,19.2367,45.3923,14405
